geo,year,age,sex,indicator,value_n,flag,file
LT,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,0.2518880102,"",lfse_inactpt_lackcare
LU,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,4.2689279883,"",lfse_inactpt_lackcare
LV,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,0.5118427429,"",lfse_inactpt_lackcare
MT,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,2.0311502598,"",lfse_inactpt_lackcare
NL,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,9.6887173909,"",lfse_inactpt_lackcare
PL,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,1.8229868982,"",lfse_inactpt_lackcare
PT,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,0.5740864144,"",lfse_inactpt_lackcare
RO,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,0.1495275966,"",lfse_inactpt_lackcare
SE,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,2.6298892311,"",lfse_inactpt_lackcare
SI,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,1.0177351159,"",lfse_inactpt_lackcare
SK,2018,Y15-64,T,INACTPT_CARERESP_ONPOP,0.8256542844,"",lfse_inactpt_lackcare
AT,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,6.7883217564,"",lfse_inactpt_lackcare
BE,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,3.3847318383,"",lfse_inactpt_lackcare
BG,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,0.1731677365,b,lfse_inactpt_lackcare
CY,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,0.890969942,"",lfse_inactpt_lackcare
CZ,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,1.183366892,"",lfse_inactpt_lackcare
DE,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,5.6089507398,"",lfse_inactpt_lackcare
DK,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,0.673726638,"",lfse_inactpt_lackcare
EE,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,1.6447611372,"",lfse_inactpt_lackcare
EL,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,0.6796933353,"",lfse_inactpt_lackcare
ES,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,1.4689838418,"",lfse_inactpt_lackcare
EU27_2020,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,3.0194110281,"",lfse_inactpt_lackcare
EA20,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,3.5523213066,"",lfse_inactpt_lackcare
FI,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,1.0371835617,"",lfse_inactpt_lackcare
FR,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,3.0213882315,"",lfse_inactpt_lackcare
HR,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,0.8239424216,"",lfse_inactpt_lackcare
HU,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,1.07746885,"",lfse_inactpt_lackcare
IE,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,3.6211568634,"",lfse_inactpt_lackcare
IT,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,2.8494229167,"",lfse_inactpt_lackcare
LT,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,0.2390455218,"",lfse_inactpt_lackcare
LU,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,4.7406709775,"",lfse_inactpt_lackcare
LV,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,0.6854083635,"",lfse_inactpt_lackcare
MT,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,2.2853516202,"",lfse_inactpt_lackcare
NL,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,9.4864579064,"",lfse_inactpt_lackcare
PL,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,1.7364264815,"",lfse_inactpt_lackcare
PT,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,0.6243529312,"",lfse_inactpt_lackcare
RO,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,0.1396671609,"",lfse_inactpt_lackcare
SE,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,2.6686756631,"",lfse_inactpt_lackcare
SI,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,0.9721642122,"",lfse_inactpt_lackcare
SK,2017,Y15-64,T,INACTPT_CARERESP_ONPOP,0.8522390369,"",lfse_inactpt_lackcare
AT,2016,Y15-64,T,INACTPT_CARERESP_ONPOP,6.9074963643,"",lfse_inactpt_lackcare
BE,2016,Y15-64,T,INACTPT_CARERESP_ONPOP,3.2181295615,"",lfse_inactpt_lackcare
BG,2016,Y15-64,T,INACTPT_CARERESP_ONPOP,0.1458952305,b,lfse_inactpt_lackcare
CY,2016,Y15-64,T,INACTPT_CARERESP_ONPOP,1.2767210538,"",lfse_inactpt_lackcare
CZ,2016,Y15-64,T,INACTPT_CARERESP_ONPOP,1.2040546086,"",lfse_inactpt_lackcare
DE,2016,Y15-64,T,INACTPT_CARERESP_ONPOP,5.4789664118,"",lfse_inactpt_lackcare
